Time,Value
7/15/2021,129.31
7/16/2021,127.54
7/19/2021,125.54
7/20/2021,125.99
7/21/2021,126.3
7/22/2021,125.86
7/23/2021,125.32
7/26/2021,125.86
7/27/2021,126.54
7/28/2021,126.64
7/29/2021,127
7/30/2021,126.18
8/3/2021,126.28
8/4/2021,127.2
8/5/2021,127.92
8/6/2021,129.14
8/9/2021,129.35
8/10/2021,130.36
8/11/2021,130.96
8/12/2021,131.08
8/13/2021,131.06
8/16/2021,131.18
8/17/2021,130.75
8/18/2021,130.66
8/19/2021,130.35
8/20/2021,131.72
8/23/2021,131.74
8/24/2021,132.05
8/25/2021,133.15
8/26/2021,132.57
8/27/2021,132.28
8/30/2021,131.07
8/31/2021,129.6
9/1/2021,129.49
9/2/2021,129.65
9/3/2021,129.48
9/7/2021,129.95
9/8/2021,129.44
9/9/2021,129.84
9/10/2021,129.63
9/13/2021,129.16
9/14/2021,128.43
9/15/2021,129.56
9/16/2021,129.57
9/17/2021,127.66
9/20/2021,125.73
9/21/2021,125.33
9/22/2021,126.41
9/23/2021,128.15
9/24/2021,127.9
9/27/2021,127.96
9/28/2021,126.57
9/29/2021,126.71
9/30/2021,126.03
10/1/2021,126.11
10/4/2021,126.2
10/5/2021,127.25
10/6/2021,127.32
10/7/2021,127.88
10/8/2021,128.41
10/12/2021,128.3
10/13/2021,128.67
10/14/2021,129.87
10/15/2021,130.66
10/18/2021,131.28
10/19/2021,131.56
10/20/2021,132.14
10/21/2021,132.37
10/22/2021,133.23
10/25/2021,132.45
10/26/2021,132.7
10/27/2021,130.99
10/28/2021,131.13
10/29/2021,128.82
11/1/2021,129.3
11/2/2021,130.69
11/3/2021,132.17
11/4/2021,132.51
11/5/2021,132.07
11/8/2021,132
11/9/2021,132.23
11/10/2021,132.39
11/11/2021,133.22
11/12/2021,133.22
11/15/2021,132.45
11/16/2021,132.65
11/17/2021,132.16
11/18/2021,131.79
11/19/2021,131.96
11/22/2021,131.63
11/23/2021,131.67
11/24/2021,132.11
11/25/2021,132.75
11/26/2021,130.7
11/29/2021,129.73
11/30/2021,126.3
12/1/2021,125.74
12/2/2021,128.14
12/3/2021,128.64
12/6/2021,129.06
12/7/2021,130.32
12/8/2021,129.64
12/9/2021,129.73
12/10/2021,130.18
12/13/2021,128.48
12/14/2021,128.62
12/15/2021,130.32
12/16/2021,131.47
12/17/2021,130.98
12/20/2021,129.99
12/21/2021,131.57
12/22/2021,132.59
12/23/2021,133.64
12/24/2021,133.99
12/29/2021,134.79
12/30/2021,134.46
12/31/2021,134.25
